Med_Name,Med_Kind,Med_Plc

复方氯唑沙宗,肌肉-骨骼系统药物 [口服常释剂型],国家

乙哌立松,肌肉-骨骼系统药物 [口服常释剂型],国家

帕米膦酸二钠,肌肉-骨骼系统药物 [注射剂],国家

异氟烷,神经系统药物 [液体剂;吸入剂;吸入麻醉剂;溶液剂],国家

七氟烷,神经系统药物 [吸入用溶液剂;吸入溶液剂;液体剂],国家

芬太尼,神经系统药物 [注射剂],国家

氧化亚氮,神经系统药物 [气体剂型],国家

汉防己甲素,肌肉-骨骼系统药物 [口服常释剂型],国家

樟脑,肌肉-骨骼系统药物 [软膏剂;外用液体剂;醑剂],国家

苯磺顺阿曲库铵,肌肉-骨骼系统药物 [注射剂],国家

泮库溴铵,肌肉-骨骼系统药物 [注射剂],国家

雷奈酸锶,肌肉-骨骼系统药物 [干混悬剂],国家

玻璃酸钠,肌肉-骨骼系统药物 [注射剂],国家

地氟烷,神经系统药物 [溶液剂],国家

硫喷妥钠,神经系统药物 [注射剂],国家

丙泊酚中/长链脂肪乳,神经系统药物 [注射剂],国家

舒马普坦,神经系统药物 [口服常释剂型],国家

佐米曲普坦,神经系统药物 [口服常释剂型],国家

丙戊酸镁,神经系统药物 [缓释控释剂型],国家

多巴丝肼,神经系统药物 [口服常释剂型],国家

多巴丝肼,神经系统药物 [缓释控释剂型],国家

罗匹尼罗,神经系统药物 [口服常释剂型;缓释控释剂型],国家

奋乃静,神经系统药物 [口服常释剂型],国家

硫利达嗪,神经系统药物 [口服常释剂型],国家

齐拉西酮,神经系统药物 [口服常释剂型],国家

氯普噻吨,神经系统药物 [注射剂],国家

舒必利,神经系统药物 [注射剂],国家

奥卡西平,神经系统药物 [口服常释剂型;口服液体剂],国家

拉莫三嗪,神经系统药物 [口服常释剂型],国家

左旋多巴,神经系统药物 [口服常释剂型],国家

金刚烷胺,神经系统药物 [口服常释剂型],国家

普拉克索,神经系统药物 [缓释控释剂型],国家

癸氟奋乃静,神经系统药物 [注射剂],国家

氟哌啶醇,神经系统药物 [口服常释剂型],国家

齐拉西酮,神经系统药物 [注射剂],国家

氯氮平,神经系统药物 [口腔崩解片],国家

硫必利,神经系统药物 [口服常释剂型],国家

舒托必利,神经系统药物 [注射剂],国家

碳酸锂,神经系统药物 [缓释控释剂型],国家

利培酮,神经系统药物 [微球注射剂],国家

帕利哌酮,神经系统药物 [注射剂],国家

地西泮,神经系统药物 [口服常释剂型],国家

羟嗪,神经系统药物 [口服常释剂型],国家

右佐匹克隆,神经系统药物 [口服常释剂型],国家

唑吡坦,神经系统药物 [口服常释剂型],国家

氯米帕明,神经系统药物 [口服常释剂型],国家

阿戈美拉汀,神经系统药物 [口服常释剂型],国家

碳酸锂,神经系统药物 [口服常释剂型],国家

利培酮,神经系统药物 [口服常释剂型;口服液体剂;口腔崩解片],国家

帕利哌酮,神经系统药物 [缓释控释剂型],国家

阿普唑仑,神经系统药物 [口服常释剂型],国家

奥沙西泮,神经系统药物 [口服常释剂型],国家

司可巴比妥,神经系统药物 [口服常释剂型],国家

扎来普隆,神经系统药物 [口服常释剂型],国家

丙米嗪,神经系统药物 [口服常释剂型],国家

马普替林,神经系统药物 [注射剂],国家

米安色林,神经系统药物 [口服常释剂型],国家

曲唑酮,神经系统药物 [口服常释剂型],国家

咖啡因,神经系统药物 [注射剂],国家

托莫西汀,神经系统药物 [口服常释剂型],国家

加兰他敏,神经系统药物 [口服常释剂型],国家

溴新斯的明,神经系统药物 [口服常释剂型],国家

胞二磷胆碱,神经系统药物 [注射剂],国家

丁苯酞,神经系统药物 [口服常释剂型],国家

利鲁唑,神经系统药物 [口服常释剂型],国家

长春西汀,神经系统药物 [注射剂],国家

蒿甲醚,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

甲氯芬酯,神经系统药物 [口服常释剂型],国家

哌甲酯,神经系统药物 [缓释控释剂型],国家

多奈哌齐,神经系统药物 [口服常释剂型],国家

溴吡斯的明,神经系统药物 [口服常释剂型],国家

美沙酮,神经系统药物 [口服常释剂型;口服液体剂],国家

乙酰胺吡咯烷酮,神经系统药物 [口服常释剂型],国家

谷维素,神经系统药物 [口服常释剂型],国家

依达拉奉,神经系统药物 [注射剂],国家

双碘喹啉,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

特布他林,呼吸系统 [口服常释剂型],国家

班布特罗,呼吸系统 [口服液体剂;颗粒剂],国家

复方甲氧那明,呼吸系统 [口服常释剂型],国家

特布他林,呼吸系统 [注射剂],国家

多索茶碱,呼吸系统 [注射剂],国家

孟鲁司特,呼吸系统 [咀嚼片;颗粒剂],国家

氨溴索,呼吸系统 [口服常释剂型;口服液体剂],国家

福多司坦,呼吸系统 [口服常释剂型],国家

氯雷他定,呼吸系统 [口服常释剂型],国家

异丙嗪,呼吸系统 [口服常释剂型],国家

茶苯海明,呼吸系统 [口服常释剂型],国家

丙卡特罗,呼吸系统 [口服常释剂型;口服液体剂;颗粒剂],国家

氯丙那林,呼吸系统 [口服常释剂型],国家

茚达特罗,呼吸系统 [粉雾剂],国家

二羟丙茶碱,呼吸系统 [注射剂],国家

扎鲁司特,呼吸系统 [口服常释剂型],国家

标准桃金娘油,呼吸系统 [口服常释剂型],国家

乙酰半胱氨酸,呼吸系统 [口服常释剂型;颗粒剂;吸入剂],国家

异丙嗪,呼吸系统 [注射剂],国家

小儿异丙嗪,呼吸系统 [口服常释剂型],国家

奎宁,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

青蒿素,抗寄生虫药，杀虫药和驱虫药 [栓剂],国家

甲苯咪唑,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

双羟萘酸噻嘧啶,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型;颗粒剂],国家

克罗米通,抗寄生虫药，杀虫药和驱虫药 [软膏剂],国家

羟甲唑啉,呼吸系统 [吸入剂;滴鼻剂],国家

氮䓬斯汀,呼吸系统 [吸入剂],国家

布地奈德,呼吸系统 [吸入剂;粉雾剂],国家

沙美特罗替卡松,呼吸系统 [吸入剂],国家

异丙托溴铵,呼吸系统 [吸入剂],国家

沙丁胺醇,呼吸系统 [口服常释剂型],国家

喷他脒,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

哌嗪,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型;锭剂],国家

氯硝柳胺,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家

麻黄碱,呼吸系统 [滴鼻剂],国家

复方羟甲唑啉,呼吸系统 [吸入剂],国家

色甘酸钠,呼吸系统 [滴鼻剂],国家

曲安奈德,呼吸系统 [吸入剂],国家

特布他林,呼吸系统 [吸入剂;粉雾剂],国家

噻托溴铵,呼吸系统 [吸入剂;粉雾剂],国家

氯苯那敏,呼吸系统 [注射剂],国家

咪唑斯汀,呼吸系统 [口服常释剂型;缓释控释剂型],国家

左西替利嗪,呼吸系统 [口服常释剂型;口服液体剂],国家

二甲弗林,呼吸系统 [注射剂],国家

金霉素,感觉器官药物 [眼膏剂],国家

地塞米松,感觉器官药物 [滴眼剂],国家

乙酰唑胺,感觉器官药物 [口服常释剂型],国家

倍他洛尔,感觉器官药物 [滴眼剂],国家

毛果芸香碱,感觉器官药物 [口服常释剂型],国家

乙酰唑胺,感觉器官药物 [注射剂],国家

复方托吡卡胺,感觉器官药物 [滴眼剂],国家

酮替芬,呼吸系统 [口服常释剂型],国家

洛贝林,呼吸系统 [注射剂],国家

牛肺表面活性剂,呼吸系统 [注射剂],国家

利巴韦林,感觉器官药物 [滴眼剂],国家

噻吗洛尔,感觉器官药物 [滴眼剂],国家

贝美前列素,感觉器官药物 [滴眼剂],国家

拉坦前列素,感觉器官药物 [滴眼剂],国家

溴莫尼定,感觉器官药物 [滴眼剂],国家

阿托品,感觉器官药物 [眼膏剂;滴眼剂],国家

后马托品,感觉器官药物 [眼膏剂],国家

酮替芬,感觉器官药物 [滴眼剂],国家

氧氟沙星,感觉器官药物 [滴耳剂],国家

二巯丙醇,杂类 [注射剂],国家

二乙基二硫代氨基甲酸钠,杂类 [注射剂],国家

硫代硫酸钠,杂类 [注射剂],国家

喷替酸钙钠,杂类 [注射剂],国家

亚硝酸异戊酯,杂类 [吸入剂],国家

戊乙奎醚,杂类 [注射剂],国家

鱼肝油酸钠,杂类 [注射剂],国家

环磷腺苷,杂类 [注射剂],国家

重组人碱性成纤维细胞生长因子,感觉器官药物 [滴眼剂],国家

碘解磷定,杂类 [注射剂],国家

二巯丁二钠,杂类 [注射剂],国家

氟马西尼,杂类 [注射剂],国家

纳洛酮,杂类 [注射剂],国家

双复磷,杂类 [注射剂],国家

鱼精蛋白,杂类 [注射剂],国家

去铁胺,杂类 [注射剂],国家

辅酶A,杂类 [注射剂],国家

葡萄糖,杂类 [口服散剂],国家

三磷酸腺苷,杂类 [注射剂],国家

碘番酸,杂类 [口服常释剂型],国家

碘帕醇,杂类 [注射剂],国家

碘曲仑,杂类 [注射剂],国家

钆贝葡胺,杂类 [注射剂],国家

六氟化硫微泡,杂类 [注射剂],国家

锝[99mTc]双半胱氨酸,杂类 [注射剂],国家

精蛋白锌重组人胰岛素,消化道和代谢方面的药物 [注射剂],国家

精蛋白生物合成人胰岛素(预混30R),消化道和代谢方面的药物 [注射剂],国家

复方龙胆碳酸氢钠片,消化道和代谢方面的药物 ,国家

胆影葡胺,杂类 [注射剂],国家

碘海醇,杂类 [注射剂],国家

碘美普尔,杂类 [注射剂],国家

铁羧葡胺,杂类 [注射剂],国家

钆喷酸葡胺,杂类 [注射剂],国家

锝[99mTc]聚合白蛋白,杂类 [注射剂],国家

门冬胰岛素,消化道和代谢方面的药物 [注射剂],国家

精蛋白重组人胰岛素,消化道和代谢方面的药物 [注射剂],国家

门冬胰岛素30,消化道和代谢方面的药物 [注射剂],国家

复方芦荟维U片,消化道和代谢方面的药物 ,国家

复方木香铝镁片,消化道和代谢方面的药物 ,国家

复方嗜酸乳杆菌片,消化道和代谢方面的药物 ,国家

复方消化酶胶囊,消化道和代谢方面的药物 ,国家

复方胰酶散,消化道和代谢方面的药物 ,国家

海藻酸铝镁颗粒,消化道和代谢方面的药物 ,国家

铝镁颠茄片,消化道和代谢方面的药物 ,国家

碳酸钙甘氨酸胶囊,消化道和代谢方面的药物 ,国家

维U颠茄铝镁胶囊,消化道和代谢方面的药物 ,国家

阿巴卡韦,全身用抗感染药 [片剂;口服液],国家

阿巴卡韦双夫定,全身用抗感染药 [片剂],国家

复方尿囊素片,消化道和代谢方面的药物 ,国家

复方胃蛋白酶颗粒,消化道和代谢方面的药物 ,国家

复方延胡索氢氧化铝片,消化道和代谢方面的药物 ,国家

盖胃平片,消化道和代谢方面的药物 ,国家

龙胆碳酸氢钠散,消化道和代谢方面的药物 ,国家

鼠李铋镁片,消化道和代谢方面的药物 ,国家

维U颠茄铝胶囊Ⅱ,消化道和代谢方面的药物 ,国家

替诺福韦,全身用抗感染药 [片剂],国家

齐多拉米双夫定,全身用抗感染药 [片剂],国家

依曲韦林,全身用抗感染药 [片剂],国家

恩福韦肽,全身用抗感染药 [混悬注射液],国家

骨瓜提取物,肌肉-骨骼系统药物 [注射剂],国家

青蒿琥酯,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家

氨酚美伪滴剂,呼吸系统 [滴剂],国家

氨酚伪麻咀嚼片,呼吸系统 [咀嚼片],国家

氨酚伪麻美芬片(Ⅱ),呼吸系统 [片剂],国家

氨金黄敏颗粒,呼吸系统 [颗粒剂],国家

氨咖麻敏胶囊,呼吸系统 [胶囊剂],国家

布洛伪麻颗粒剂,呼吸系统 [颗粒剂],国家

酚咖片,呼吸系统 [片剂],国家

鹿瓜多肽,肌肉-骨骼系统药物 [注射剂],国家

复方青蒿素,抗寄生虫药，杀虫药和驱虫药 [片剂],国家

咯萘啶,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家

苯酚伪麻片,呼吸系统 [片剂],国家

氨酚伪麻美芬片,呼吸系统 [片剂],国家

氨酚伪麻那敏咀嚼片,呼吸系统 [咀嚼片],国家

氨咖黄敏口服溶液,呼吸系统 [口服溶液剂],国家

氨麻美敏片,呼吸系统 [片剂],国家

布洛伪麻片,呼吸系统 [片剂],国家

酚麻美敏片,呼吸系统 [片剂],国家

复方氨酚葡锌片,呼吸系统 [片剂],国家

复方北豆根氨酚那敏片,呼吸系统 [片剂],国家

复方甘草浙贝氯化铵片,呼吸系统 [片剂],国家

复方氢溴酸右美沙芬糖浆,呼吸系统 [糖浆剂],国家

复方锌布颗粒剂,呼吸系统 [颗粒剂],国家

复方愈创木酚磺酸钾口服溶液,呼吸系统 [口服溶液剂],国家

洛芬葡锌那敏片,呼吸系统 [片剂],国家

双扑伪麻分散片,呼吸系统 [分散片],国家

双扑伪麻片,呼吸系统 [片剂],国家

愈创维林那敏片,呼吸系统 [片剂],国家

复方氨酚烷胺胶囊,呼吸系统 [胶囊剂],国家

复方贝母氯化铵片,呼吸系统 [片剂],国家

复方氢溴酸右美沙芬胶囊,呼吸系统 [胶囊剂],国家

复方忍冬藤阿司匹林片,呼吸系统 [片剂],国家

复方银翘氨敏胶囊,呼吸系统 [胶囊剂],国家

柳酚咖敏片,呼吸系统 [片剂],国家

美尔伪麻溶液,呼吸系统 [口服溶液剂],国家

双扑伪麻颗粒,呼吸系统 [颗粒剂],国家

右美沙芬愈创甘油醚糖浆,呼吸系统 [糖浆剂],国家

艾司奥美拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

艾司奥美拉唑,消化道和代谢方面的药物 [注射剂],国家

瑞巴派特,消化道和代谢方面的药物 [口服常释剂型],国家

罂粟碱,消化道和代谢方面的药物 [口服常释剂型],国家

丁溴东莨菪碱,消化道和代谢方面的药物 [注射剂],国家

多潘立酮,消化道和代谢方面的药物 [口服常释剂型],国家

昂丹司琼,消化道和代谢方面的药物 [口服常释剂型],国家

托烷司琼,消化道和代谢方面的药物 [口服常释剂型;口服液体剂],国家

去氢胆酸,消化道和代谢方面的药物 [口服常释剂型],国家

甘草酸二铵,消化道和代谢方面的药物 [注射剂],国家

门冬氨酸鸟氨酸,消化道和代谢方面的药物 [注射剂],国家

兰索拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

曲美布汀,消化道和代谢方面的药物 [口服常释剂型],国家

阿托品,消化道和代谢方面的药物 [注射剂],国家

东莨菪碱,消化道和代谢方面的药物 [注射剂],国家

多潘立酮,消化道和代谢方面的药物 [栓剂],国家

昂丹司琼,消化道和代谢方面的药物 [注射剂],国家

熊去氧胆酸,消化道和代谢方面的药物 [口服常释剂型],国家

多烯磷脂酰胆碱,消化道和代谢方面的药物 [口服常释剂型],国家

硫普罗宁,消化道和代谢方面的药物 [口服常释剂型],国家

格列吡嗪,消化道和代谢方面的药物 [缓释控释剂型],国家

格列齐特Ⅱ,消化道和代谢方面的药物 [口服常释剂型],国家

米格列醇,消化道和代谢方面的药物 [口服常释剂型],国家

那格列奈,消化道和代谢方面的药物 [口服常释剂型],国家

维生素B1,消化道和代谢方面的药物 [注射剂],国家

维生素C,消化道和代谢方面的药物 [注射剂],国家

阿法骨化醇,消化道和代谢方面的药物 [口服常释剂型],国家

小儿碳酸钙D3,消化道和代谢方面的药物 [颗粒剂],国家

葡萄糖酸钙,消化道和代谢方面的药物 [注射剂],国家

司坦唑醇,消化道和代谢方面的药物 [口服常释剂型],国家

乌司他丁,消化道和代谢方面的药物 [注射剂],国家

伏格列波糖,消化道和代谢方面的药物 [口服常释剂型],国家

西格列汀,消化道和代谢方面的药物 [口服常释剂型],国家

依帕司他,消化道和代谢方面的药物 [口服常释剂型],国家

维生素B6,消化道和代谢方面的药物 [注射剂],国家

维生素D2,消化道和代谢方面的药物 [注射剂],国家

维生素B6,消化道和代谢方面的药物 [口服常释剂型],国家

脂溶性维生素Ⅰ,消化道和代谢方面的药物 [注射剂],国家

硫酸锌,消化道和代谢方面的药物 [口服常释剂型;口服溶液剂],国家

缓解消化道不适症状的复方OTC制剂,消化道和代谢方面的药物 ,国家

双环醇,消化道和代谢方面的药物 [注射剂],国家

开塞露(甘油),消化道和代谢方面的药物 [外用液体剂;灌肠剂],国家

甘油,消化道和代谢方面的药物 [栓剂;灌肠剂],国家

小儿小檗碱,消化道和代谢方面的药物 [口服常释剂型],国家

蒙脱石,消化道和代谢方面的药物 [口服常释剂型;颗粒剂],国家

柳氮磺吡啶,消化道和代谢方面的药物 [口服常释剂型],国家

消旋卡多曲,消化道和代谢方面的药物 [口服常释剂型;颗粒剂;口服散剂],国家

胰酶,消化道和代谢方面的药物 [口服常释剂型],国家

重组人胰岛素,消化道和代谢方面的药物 [注射剂],国家

普通胰岛素预混,消化道和代谢方面的药物 [注射剂],国家

二甲双胍,消化道和代谢方面的药物 [缓释控释剂型],国家

复方聚乙二醇电解质(Ⅰ),消化道和代谢方面的药物 [口服散剂],国家

乳果糖,消化道和代谢方面的药物 [口服散剂;口服液体剂],国家

新霉素,消化道和代谢方面的药物 [口服常释剂型],国家

洛哌丁胺,消化道和代谢方面的药物 [颗粒剂],国家

枯草杆菌二联活菌,消化道和代谢方面的药物 [口服常释剂型],国家

乳酶生,消化道和代谢方面的药物 [口服常释剂型],国家

动物源短效胰岛素,消化道和代谢方面的药物 [注射剂],国家

低精蛋白锌胰岛素,消化道和代谢方面的药物 [注射剂],国家

胰岛素类似物预混,消化道和代谢方面的药物 [注射剂],国家

愈酚喷托异丙嗪颗粒,呼吸系统 [颗粒剂],国家

愈美胶囊,呼吸系统 [胶囊剂],国家

肠内营养混悬液Ⅱ(TP),杂类 [口服液体剂],国家

肠内营养乳剂(TPF),杂类 [口服液体剂],国家

青蒿琥酯,抗寄生虫药，杀虫药和驱虫药 [片剂],国家

感冒疏风胶囊,内科用药 ,国家

葛根汤合剂,内科用药 ,国家

小儿大黄碳酸氢钠,消化道和代谢方面的药物 [口服常释剂型],国家

枸橼酸铋钾,消化道和代谢方面的药物 [颗粒剂],国家

法莫替丁,消化道和代谢方面的药物 [口服常释剂型],国家

埃索美拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

肠内营养粉剂(AA-PA),杂类 [口服散剂],国家

肠内营养混悬液(TPF-DM),杂类 [口服液体剂;混悬剂],国家

肠内营养混悬液(SP),杂类 [口服液体剂;混悬剂],国家

感冒疏风丸,内科用药 ,国家

感冒疏风颗粒,内科用药 ,国家

氯己定,消化道和代谢方面的药物 [外用液体剂],国家

枸橼酸铋钾,消化道和代谢方面的药物 [口服常释剂型],国家

胶体果胶铋,消化道和代谢方面的药物 [口服常释剂型],国家

雷尼替丁,消化道和代谢方面的药物 [口服常释剂型],国家

重组人凝血因子IX,血液和造血器官药 [注射剂],国家

硫酸亚铁,血液和造血器官药 [缓释控释剂型],国家

多糖铁复合物,血液和造血器官药 [口服常释剂型],国家

维生素B12,血液和造血器官药 [注射剂],国家

右旋糖酐(20、40、70)葡萄糖,血液和造血器官药 [注射剂],国家

人血白蛋白,血液和造血器官药 [注射剂],国家

复方氨基酸(18AA-Ⅰ),血液和造血器官药 [注射剂],国家

复方氨基酸(18B),血液和造血器官药 [注射剂],国家

复方氨基酸(3AA),血液和造血器官药 [注射剂],国家

ω-3鱼油脂肪乳,血液和造血器官药 [注射剂],国家

葡萄糖,血液和造血器官药 [注射剂],国家

硫酸亚铁,血液和造血器官药 [口服常释剂型],国家

葡萄糖酸亚铁,血液和造血器官药 [口服常释剂型],国家

甲钴胺,血液和造血器官药 [注射剂],国家

琥珀酰明胶,血液和造血器官药 [注射剂],国家

复方氨基酸(18AA),血液和造血器官药 [注射剂],国家

小儿复方氨基酸(18AA-Ⅰ),血液和造血器官药 [注射剂],国家

复方氨基酸(20AA),血液和造血器官药 [注射剂],国家

复方氨基酸(9AA),血液和造血器官药 [注射剂],国家

中/长链脂肪乳(C8-24Ve),血液和造血器官药 [注射剂],国家

单硝酸异山梨酯(Ⅰ),心血管系统 [缓释控释剂型],国家

单硝酸异山梨酯(Ⅱ),心血管系统 [缓释控释剂型],国家

硝酸异山梨酯,心血管系统 [缓释控释剂型],国家

地巴唑,心血管系统 [口服常释剂型],国家

可乐定,心血管系统 [贴剂;透皮贴剂],国家

硝普钠,心血管系统 [注射剂],国家

复方利血平,心血管系统 [口服常释剂型],国家

布美他尼,心血管系统 [注射剂],国家

螺内酯,心血管系统 [口服常释剂型],国家

桂哌齐特,心血管系统 [注射剂],国家

己酮可可碱,心血管系统 [注射剂],国家

尼可地尔,心血管系统 [口服常释剂型],国家

前列地尔,心血管系统 [注射剂],国家

可乐定,心血管系统 [口服常释剂型],国家

乌拉地尔,心血管系统 [注射剂],国家

肼屈嗪,心血管系统 [注射剂],国家

吲达帕胺,心血管系统 [口服常释剂型;缓释控释剂型],国家

托拉塞米,心血管系统 [注射剂],国家

阿米洛利,心血管系统 [口服常释剂型],国家

己酮可可碱,心血管系统 [口服常释剂型;缓释控释剂型],国家

腺苷蛋氨酸,消化道和代谢方面的药物 [口服常释剂型],国家

腺苷蛋氨酸,消化道和代谢方面的药物 [注射剂],国家

低分子肝素,血液和造血器官药 [注射剂],国家

贝前列素,血液和造血器官药 [口服常释剂型],国家

降纤酶,血液和造血器官药 [注射剂],国家

舒洛地特,血液和造血器官药 [口服常释剂型],国家

氨甲苯酸葡萄糖,血液和造血器官药 [注射剂],国家

氨甲环酸氯化钠,血液和造血器官药 [注射剂],国家

巴曲酶,血液和造血器官药 [注射剂],国家

蛇毒血凝酶,血液和造血器官药 [注射剂],国家

重组人凝血因子Ⅷ,血液和造血器官药 [注射剂],国家

达肝素钠,血液和造血器官药 [注射剂],国家

阿司匹林,血液和造血器官药 [口服常释剂型],国家

依替巴肽,血液和造血器官药 [注射剂],国家

达比加群酯,血液和造血器官药 [口服常释剂型],国家

奥扎格雷,血液和造血器官药 [注射剂],国家

氨甲环酸,血液和造血器官药 [口服常释剂型],国家

亚硫酸氢钠甲萘醌,血液和造血器官药 [注射剂],国家

矛头蝮蛇血凝酶,血液和造血器官药 [注射剂],国家

亚硫酸氢钠甲萘醌,血液和造血器官药 [口服常释剂型],国家

乳酸钠,血液和造血器官药 [注射剂],国家

果糖,血液和造血器官药 [注射剂],国家

甘油果糖氯化钠,血液和造血器官药 [注射剂],国家

碳酸氢钠,血液和造血器官药 [注射剂],国家

血液滤过置换液,血液和造血器官药 [注射剂],国家

胺碘酮,心血管系统 [口服常释剂型],国家

普罗帕酮,心血管系统 [注射剂],国家

伊布利特,心血管系统 [注射剂],国家

去甲肾上腺素,心血管系统 [注射剂],国家

米力农,心血管系统 [注射剂],国家

单硝酸异山梨酯,心血管系统 [注射剂],国家

果糖氯化钠,血液和造血器官药 [注射剂],国家

复方甘油,血液和造血器官药 [注射剂],国家

丙氨酰谷氨酰胺,血液和造血器官药 [注射剂],国家

地高辛,心血管系统 [口服常释剂型],国家

胺碘酮,心血管系统 [注射剂],国家

丙吡胺,心血管系统 [口服常释剂型],国家

麻黄碱,心血管系统 [注射剂],国家

异丙肾上腺素,心血管系统 [注射剂],国家

硝酸甘油,心血管系统 [注射剂],国家

烟酸,心血管系统 [口服常释剂型;缓释控释剂型],国家

烟酸,心血管系统 [注射剂],国家

阿罗洛尔,心血管系统 [口服常释剂型],国家

拉贝洛尔,心血管系统 [口服常释剂型],国家

尼莫地平,心血管系统 [口服常释剂型],国家

硝苯地平(Ⅲ),心血管系统 [缓释控释剂型],国家

卡托普利,心血管系统 [口服常释剂型],国家

福辛普利,心血管系统 [口服常释剂型],国家

依那普利氢氯噻嗪,心血管系统 [口服常释剂型],国家

依那普利叶酸,心血管系统 [口服常释剂型],国家

替米沙坦,心血管系统 [口服常释剂型],国家

普萘洛尔,心血管系统 [缓释控释剂型],国家

卡维地洛,心血管系统 [口服常释剂型],国家

氨氯地平,心血管系统 [口服常释剂型],国家

贝尼地平,心血管系统 [口服常释剂型],国家

地尔硫䓬,心血管系统 [口服常释剂型],国家

依那普利,心血管系统 [口服常释剂型],国家

咪达普利,心血管系统 [口服常释剂型],国家

依那普利氢氯噻嗪(Ⅱ),心血管系统 [口服常释剂型],国家

厄贝沙坦,心血管系统 [口服常释剂型;缓释控释剂型],国家

奥美沙坦酯氢氯噻嗪,心血管系统 [口服常释剂型],国家

缬沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家

普伐他汀,心血管系统 [口服常释剂型],国家

吉非罗齐,心血管系统 [口服常释剂型],国家

普罗布考,心血管系统 [口服常释剂型],国家

阿莫罗芬,皮肤病用药 [软膏剂],国家

二硫化硒,皮肤病用药 [外用液体剂],国家

克霉唑,皮肤病用药 [贴剂],国家

十一烯酸,皮肤病用药 [外用液体剂;软膏剂],国家

酮康唑,皮肤病用药 [软膏剂],国家

复方水杨酸,皮肤病用药 [外用液体剂],国家

辛伐他汀,心血管系统 [口服常释剂型],国家

非诺贝特(Ⅱ),心血管系统 [口服常释剂型],国家

阿昔莫司,心血管系统 [口服常释剂型],国家

环丙沙星,皮肤病用药 [软膏剂],国家

布替萘芬,皮肤病用药 [软膏剂],国家

复方土槿皮,皮肤病用药 [外用液体剂],国家

曲安奈德益康唑,皮肤病用药 [软膏剂],国家

特比萘芬,皮肤病用药 [软膏剂],国家

益康唑,皮肤病用药 [软膏剂],国家

地蒽酚,皮肤病用药 [软膏剂],国家

卡泊三醇,皮肤病用药 [外用液体剂;软膏剂],国家

地奈德,皮肤病用药 [软膏剂],国家

复方曲安缩松,皮肤病用药 [软膏剂;贴膏剂],国家

曲安奈德,皮肤病用药 [软膏剂],国家

依沙吖啶,皮肤病用药 [外用液体剂;软膏剂],国家

林可霉素,皮肤病用药 [软膏剂],国家

炉甘石,皮肤病用药 [外用液体剂;软膏剂],国家

咪康唑,泌尿生殖系统药和性激素 [栓剂;阴道片;阴道泡腾片;阴道软胶囊],国家

麦角新碱,泌尿生殖系统药和性激素 [注射剂],国家

利托君,泌尿生殖系统药和性激素 [注射剂],国家

鬼臼毒素,皮肤病用药 [外用液体剂;软膏剂],国家

丁酸氢化可的松,皮肤病用药 [软膏剂],国家

卤米松,皮肤病用药 [乳膏剂],国家

高锰酸钾,皮肤病用药 [片剂;局部用散剂],国家

克林霉素,皮肤病用药 [软膏剂],国家

异维A酸,皮肤病用药 [口服常释剂型],国家

克霉唑,泌尿生殖系统药和性激素 [阴道片;栓剂],国家

聚甲酚磺醛,泌尿生殖系统药和性激素 [外用液体剂;栓剂],国家

地诺前列酮,泌尿生殖系统药和性激素 [栓剂],国家

可的松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

曲安奈德,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

丙硫氧嘧啶,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

帕立骨化醇,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

米诺环素,全身用抗感染药 [口服常释剂型;颗粒剂],国家

